dglcalls141231
'8-TELEFONICA GUATEMALA', '13-CYBERNET'     :     8, 3, 3, 1, 2, 3, 15, 42, 75, 102, 148, 141, 135, 123, 155, 170, 173, 195, 218, 275, 244, 329, 299, 300
'8-TELEFONICA GUATEMALA', '12-ATEL'     :     2, 0, 2, 0, 1, 1, 16, 40, 70, 82, 85, 78, 72, 88, 73, 69, 49, 69, 81, 59, 53, 51, 46, 32
'8-TELEFONICA GUATEMALA', '19-GUATEL'     :     1, 0, 3, 1, 1, 2, 11, 7, 17, 25, 38, 29, 16, 12, 30, 39, 21, 27, 34, 38, 44, 38, 35, 36
'8-TELEFONICA GUATEMALA', '35-OPERADOR NO DEFINIDO'     :     1, 0, 0, 0, 1, 3, 12, 15, 21, 26, 29, 33, 29, 28, 28, 28, 36, 30, 58, 49, 58, 44, 65, 53
'8-TELEFONICA GUATEMALA', '30-TTELNORTE S.A.'     :     0, 1, 0, 1, 0, 1, 1, 2, 15, 8, 12, 11, 4, 9, 16, 6, 8, 10, 19, 14, 14, 18, 13, 23
'8-TELEFONICA GUATEMALA', '22-UNITEL S.A.'     :     0, 0, 0, 0, 0, 0, 1, 7, 9, 3, 10, 3, 9, 13, 12, 8, 10, 17, 21, 13, 20, 23, 16, 10
'8-TELEFONICA GUATEMALA', '87-A T & T - LOCAL'     :     0, 0, 0, 0, 0, 0, 1, 4, 5, 1, 2, 3, 0, 0, 2, 3, 3, 1, 2, 2, 4, 6, 4, 8
'8-TELEFONICA GUATEMALA', '34-TTISA'     :     0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 2, 7, 2, 9, 3, 5, 4, 7, 14, 7, 11, 6, 8, 4
'8-TELEFONICA GUATEMALA', '26-BNA S.A.'     :     0, 0, 0, 0, 0, 0, 0, 1, 9, 15, 6, 6, 6, 6, 0, 8, 3, 5, 17, 14, 12, 13, 6, 12
'8-TELEFONICA GUATEMALA', '33-OPTEL'     :     0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 3, 6, 4, 2, 2, 2, 5, 7, 8, 7, 8, 2, 12, 2
'8-TELEFONICA GUATEMALA', '31-DESARROLLO'     :     0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 1, 1, 2, 0, 0, 2, 3, 0, 0, 2

dglcalls141217
'Totalcalls', '20141217'     :     20200, 10123, 7082, 7834, 16074, 41842, 124000, 245569, 386371, 476692, 504004, 495171, 522801, 475743, 446676, 451099, 479914, 511987, 528866, 466594, 381404, 294046, 162235, 56999
'8-TELEFONICA GUATEMALA', '8-TELEFONICA GUATEMALA'     :     13369, 6549, 4556, 4791, 9633, 25659, 74038, 136029, 202157, 242993, 254836, 249369, 274981, 252800, 231739, 232023, 249397, 277370, 292656, 264996, 223392, 183209, 108420, 39225
'8-TELEFONICA GUATEMALA', '5-TELGUA S.A.'     :     582, 313, 183, 214, 416, 1317, 4465, 12106, 27455, 38286, 41424, 40535, 39930, 33034, 34537, 35713, 36282, 31996, 27432, 22117, 16255, 10974, 5192, 1652
'8-TELEFONICA GUATEMALA', '11-SERCOM PCS DIGITAL'     :     2653, 1327, 891, 905, 1993, 4873, 15135, 33547, 54747, 69913, 74811, 74635, 76101, 69735, 65746, 66563, 70845, 75125, 77603, 67632, 53941, 39105, 19801, 6644
'8-TELEFONICA GUATEMALA', '9-COMCEL'     :     3546, 1906, 1433, 1909, 3999, 9885, 29865, 62930, 99719, 122317, 129473, 127199, 128339, 117355, 111476, 113582, 120213, 124685, 128995, 110182, 86607, 59966, 28462, 9342
'8-TELEFONICA GUATEMALA', '35-OPERADOR NO DEFINIDO'     :     2, 0, 0, 0, 0, 6, 5, 28, 13, 19, 16, 17, 23, 12, 16, 24, 15, 18, 25, 48, 38, 26, 13, 2
'8-TELEFONICA GUATEMALA', '7-CABLENET S.A.'     :     38, 22, 18, 14, 28, 96, 429, 867, 2112, 2964, 3207, 3180, 3178, 2599, 2830, 2920, 2912, 2545, 1902, 1329, 892, 558, 231, 98
'8-TELEFONICA GUATEMALA', '13-CYBERNET'     :     9, 4, 1, 0, 3, 5, 15, 24, 55, 64, 61, 71, 75, 58, 87, 77, 82, 109, 111, 136, 167, 139, 70, 23
'8-TELEFONICA GUATEMALA', '34-TTISA'     :     1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 2, 3, 1, 2, 3, 3, 1, 2, 3, 0, 0, 0, 0
'8-TELEFONICA GUATEMALA', '12-ATEL'     :     0, 2, 0, 0, 2, 1, 14, 22, 39, 64, 81, 83, 72, 70, 133, 117, 87, 76, 91, 103, 53, 28, 16, 6
'8-TELEFONICA GUATEMALA', '19-GUATEL'     :     0, 0, 0, 1, 0, 0, 4, 6, 35, 42, 42, 35, 58, 45, 35, 33, 39, 27, 25, 22, 27, 22, 12, 3
'8-TELEFONICA GUATEMALA', '30-TTELNORTE S.A.'     :     0, 0, 0, 0, 0, 0, 28, 4, 7, 9, 19, 24, 16, 15, 57, 24, 17, 14, 5, 8, 11, 10, 2, 2
'8-TELEFONICA GUATEMALA', '31-DESARROLLO'     :     0, 0, 0, 0, 0, 0, 1, 0, 4, 0, 3, 1, 2, 0, 2, 0, 1, 0, 0, 0, 3, 0, 1, 1
'8-TELEFONICA GUATEMALA', '26-BNA S.A.'     :     0, 0, 0, 0, 0, 0, 1, 3, 13, 8, 4, 3, 11, 4, 5, 12, 13, 6, 2, 3, 0, 2, 4, 0
'8-TELEFONICA GUATEMALA', '87-A T & T - LOCAL'     :     0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 3, 1, 3, 0, 0, 2, 0, 0, 0, 2, 4, 0, 0, 0
'8-TELEFONICA GUATEMALA', '22-UNITEL S.A.'     :     0, 0, 0, 0, 0, 0, 0, 1, 12, 4, 12, 14, 7, 10, 7, 5, 7, 11, 13, 5, 12, 4, 7, 0
'8-TELEFONICA GUATEMALA', '33-OPTEL'     :     0, 0, 0, 0, 0, 0, 0, 1, 1, 4, 4, 2, 2, 5, 4, 1, 1, 4, 4, 8, 2, 3, 4, 1

dglcalls141210
'Totalcalls', '20141210'     :     18886, 9046, 6140, 6924, 15324, 39186, 118259, 231019, 355757, 439756, 467297, 464327, 488259, 442000, 413144, 426923, 452175, 491681, 495979, 429896, 346788, 256649, 137450, 46376
'8-TELEFONICA GUATEMALA', '8-TELEFONICA GUATEMALA'     :     13298, 5952, 4162, 4323, 9336, 24724, 70951, 127865, 184108, 223003, 236296, 233932, 256089, 237299, 217110, 219431, 235973, 267632, 277625, 246700, 205463, 162592, 93916, 32261
'8-TELEFONICA GUATEMALA', '9-COMCEL'     :     2904, 1667, 1185, 1541, 3750, 8776, 28589, 60019, 93093, 114374, 120688, 119278, 121053, 107259, 102062, 106813, 112429, 120087, 120143, 101002, 77783, 51166, 23145, 7272
'8-TELEFONICA GUATEMALA', '5-TELGUA S.A.'     :     464, 265, 144, 206, 423, 1222, 4430, 11655, 26558, 36793, 39771, 39904, 38238, 31853, 32531, 35311, 34699, 31023, 25591, 20487, 14870, 9477, 4000, 1247
'8-TELEFONICA GUATEMALA', '11-SERCOM PCS DIGITAL'     :     2167, 1130, 635, 839, 1787, 4349, 13875, 30497, 49741, 62636, 67330, 67787, 69452, 62858, 58447, 62151, 65821, 70243, 70624, 60162, 47483, 32641, 16079, 5495
'8-TELEFONICA GUATEMALA', '12-ATEL'     :     3, 0, 0, 0, 0, 0, 12, 29, 74, 78, 118, 81, 91, 70, 107, 139, 97, 113, 138, 108, 103, 32, 6, 1
'8-TELEFONICA GUATEMALA', '7-CABLENET S.A.'     :     34, 30, 14, 14, 27, 105, 372, 894, 2078, 2719, 2956, 3158, 3112, 2507, 2727, 2866, 2987, 2413, 1659, 1158, 832, 538, 196, 73
'8-TELEFONICA GUATEMALA', '87-A T & T - LOCAL'     :     1, 0, 0, 0, 0, 0, 0, 1, 0, 6, 0, 3, 0, 2, 0, 5, 2, 0, 2, 1, 6, 0, 0, 0
'8-TELEFONICA GUATEMALA', '30-TTELNORTE S.A.'     :     1, 1, 0, 0, 0, 0, 1, 3, 7, 16, 10, 20, 13, 16, 11, 15, 11, 7, 10, 14, 20, 6, 3, 3
'8-TELEFONICA GUATEMALA', '13-CYBERNET'     :     12, 0, 0, 1, 1, 4, 11, 23, 36, 45, 59, 86, 94, 72, 68, 90, 89, 89, 109, 187, 157, 141, 78, 21
'8-TELEFONICA GUATEMALA', '19-GUATEL'     :     1, 0, 0, 0, 0, 3, 14, 10, 24, 44, 35, 44, 65, 31, 53, 64, 25, 34, 28, 22, 35, 24, 14, 0
'8-TELEFONICA GUATEMALA', '35-OPERADOR NO DEFINIDO'     :     1, 0, 0, 0, 0, 3, 3, 16, 16, 30, 19, 15, 24, 16, 14, 21, 21, 28, 24, 28, 24, 14, 10, 1
